STATEFP,COUNTYFP,COUSUBFP,Place,Population,Area,Density,State,lat,lon,poi_count,poke_score,visible_stops,estimated_gyms,area_km2,stationary_cluster_score,cluster_grade
50,5,41725,"Lyndon town, Caledonia County, Vermont",5491,39.62653205997896,138.56877487257248,Vermont,44.5337231,-72.0031346,12,1662.8252984708697,11,2,102.6323217700249,0.10717871144578055,D
33,13,35540,"Henniker town, Merrimack County, New Hampshire",6185,44.720766296287465,138.3026390697928,New Hampshire,43.1752826,-71.8220395,4,553.2105562791712,4,1,115.82633749972156,0.03453445983310675,D
33,3,14660,"Conway town, Carroll County, New Hampshire",9822,71.59329661501377,137.19161519851338,New Hampshire,43.87391,-71.20277,3,411.5748455955401,3,1,185.4259222999195,0.016178967658834736,D
33,19,75060,"Sunapee town, Sullivan County, New Hampshire",3342,25.10897780662772,133.09980301618862,New Hampshire,43.3855932,-72.0814257,5,665.4990150809431,4,1,65.03200142938772,0.06150817923608322,D
33,11,36180,"Hillsborough town, Hillsborough County, New Hampshire",5939,44.62382521707199,133.0903384259376,New Hampshire,43.1166766,-71.8954409,6,798.5420305556256,5,1,115.57526107396427,0.04326185338919692,D
33,5,38500,"Jaffrey town, Cheshire County, New Hampshire",5320,40.10680091696089,132.64583258621877,New Hampshire,42.8407958,-72.0913925,2,265.29166517243755,2,1,103.87621330691954,0.019253686058911944,D
50,23,50275,"Northfield town, Washington County, Vermont",5918,44.686861038024574,132.4326628125503,Vermont,44.1486362,-72.6569682,16,2118.9226050008047,14,2,115.73852321987326,0.12096231756304356,D
33,15,9300,"Candia town, Rockingham County, New Hampshire",4013,30.51207189010687,131.52171423996813,New Hampshire,43.0433943,-71.334903,3,394.56514271990443,3,1,79.02596107465789,0.03796220835790686,D
33,13,37540,"Hopkinton town, Merrimack County, New Hampshire",5914,45.0045745490883,131.4088636378367,New Hampshire,43.2082255,-71.7462642,2,262.8177272756734,2,1,116.56139803639319,0.01715833915594898,D
33,17,48660,"Milton town, Strafford County, New Hampshire",4482,34.210757618504935,131.01142190360736,New Hampshire,43.4631691,-70.9916078,2,262.0228438072147,2,1,88.60552012435159,0.022571957110495387,D
33,11,4900,"Bennington town, Hillsborough County, New Hampshire",1501,11.566677063839837,129.7693358010729,New Hampshire,43.0013003,-71.9245599,1,129.7693358010729,1,0,29.957577928574537,0.03338053571567836,D
